,address,id,name,isBookable,isCampground,location,latitude,longitude,url,imgUrl,numCampsites
0,"140 Stewart Ave, 11237 New York, New York",115196040.0,Camp Gateway- Brooklyn Ny,True,True,"East New York, New York",40.5958,-73.8858,https://www.rei.com/campgrounds/camp/115196040/camp-gateway-brooklyn-ny,https://cdn.recreation.gov/public/images/69035.jpg,45.0
1,"140 Stewart Ave, 11237 New York, New York",115197387.0,Camp Gateway - Staten Island,True,True,"Bensonhurst, New York",40.6036,-74.0588,https://www.rei.com/campgrounds/camp/115197387/camp-gateway-staten-island,https://cdn.recreation.gov/public/2018/08/16/21/32/463c611c-0d36-41da-9343-cb04112f7eac_450.jpg,7.0
2,"140 Stewart Ave, 11237 New York, New York",115197386.0,Camp Gateway - Sandy Hook,True,True,"Highlands, New Jersey",40.4492,-73.9961,https://www.rei.com/campgrounds/camp/115197386/camp-gateway-sandy-hook,https://cdn.recreation.gov/public/2018/08/02/15/18/2a224b26-473b-4320-87b5-f9eaa1e404b9_450.jpg,20.0
3,"140 Stewart Ave, 11237 New York, New York",115208172.0,Theodore Roosevelt Home,False,False,"Oyster Bay Cove, New York",40.8855,-73.5012,https://www.rei.com/campgrounds/camp/115208172/theodore-roosevelt-home,https://www.rei.com/assets/camp/images/campground-placeholder-image/live.png,0.0
4,"06 Cooper Ave. Ridgewood, NY 11385",115196040.0,Camp Gateway- Brooklyn Ny,True,True,"East New York, New York",40.5958,-73.8858,https://www.rei.com/campgrounds/camp/115196040/camp-gateway-brooklyn-ny,https://cdn.recreation.gov/public/images/69035.jpg,45.0
5,"06 Cooper Ave. Ridgewood, NY 11385",115197387.0,Camp Gateway - Staten Island,True,True,"Bensonhurst, New York",40.6036,-74.0588,https://www.rei.com/campgrounds/camp/115197387/camp-gateway-staten-island,https://cdn.recreation.gov/public/2018/08/16/21/32/463c611c-0d36-41da-9343-cb04112f7eac_450.jpg,7.0
6,"06 Cooper Ave. Ridgewood, NY 11385",115197386.0,Camp Gateway - Sandy Hook,True,True,"Highlands, New Jersey",40.4492,-73.9961,https://www.rei.com/campgrounds/camp/115197386/camp-gateway-sandy-hook,https://cdn.recreation.gov/public/2018/08/02/15/18/2a224b26-473b-4320-87b5-f9eaa1e404b9_450.jpg,20.0
7,"06 Cooper Ave. Ridgewood, NY 11385",115208172.0,Theodore Roosevelt Home,False,False,"Oyster Bay Cove, New York",40.8855,-73.5012,https://www.rei.com/campgrounds/camp/115208172/theodore-roosevelt-home,https://www.rei.com/assets/camp/images/campground-placeholder-image/live.png,0.0
8,"98 Meserole Ave, Brooklyn, NY 11222",115196040.0,Camp Gateway- Brooklyn Ny,True,True,"East New York, New York",40.5958,-73.8858,https://www.rei.com/campgrounds/camp/115196040/camp-gateway-brooklyn-ny,https://cdn.recreation.gov/public/images/69035.jpg,45.0
9,"98 Meserole Ave, Brooklyn, NY 11222",115197387.0,Camp Gateway - Staten Island,True,True,"Bensonhurst, New York",40.6036,-74.0588,https://www.rei.com/campgrounds/camp/115197387/camp-gateway-staten-island,https://cdn.recreation.gov/public/2018/08/16/21/32/463c611c-0d36-41da-9343-cb04112f7eac_450.jpg,7.0
10,"98 Meserole Ave, Brooklyn, NY 11222",115197386.0,Camp Gateway - Sandy Hook,True,True,"Highlands, New Jersey",40.4492,-73.9961,https://www.rei.com/campgrounds/camp/115197386/camp-gateway-sandy-hook,https://cdn.recreation.gov/public/2018/08/02/15/18/2a224b26-473b-4320-87b5-f9eaa1e404b9_450.jpg,20.0
11,"98 Meserole Ave, Brooklyn, NY 11222",115208172.0,Theodore Roosevelt Home,False,False,"Oyster Bay Cove, New York",40.8855,-73.5012,https://www.rei.com/campgrounds/camp/115208172/theodore-roosevelt-home,https://www.rei.com/assets/camp/images/campground-placeholder-image/live.png,0.0
12,"2 Wyckoff Ave; Brooklyn, NY 11237; USA",115196040.0,Camp Gateway- Brooklyn Ny,True,True,"East New York, New York",40.5958,-73.8858,https://www.rei.com/campgrounds/camp/115196040/camp-gateway-brooklyn-ny,https://cdn.recreation.gov/public/images/69035.jpg,45.0
13,"2 Wyckoff Ave; Brooklyn, NY 11237; USA",115197387.0,Camp Gateway - Staten Island,True,True,"Bensonhurst, New York",40.6036,-74.0588,https://www.rei.com/campgrounds/camp/115197387/camp-gateway-staten-island,https://cdn.recreation.gov/public/2018/08/16/21/32/463c611c-0d36-41da-9343-cb04112f7eac_450.jpg,7.0
14,"2 Wyckoff Ave; Brooklyn, NY 11237; USA",115197386.0,Camp Gateway - Sandy Hook,True,True,"Highlands, New Jersey",40.4492,-73.9961,https://www.rei.com/campgrounds/camp/115197386/camp-gateway-sandy-hook,https://cdn.recreation.gov/public/2018/08/02/15/18/2a224b26-473b-4320-87b5-f9eaa1e404b9_450.jpg,20.0
15,"2 Wyckoff Ave; Brooklyn, NY 11237; USA",115208172.0,Theodore Roosevelt Home,False,False,"Oyster Bay Cove, New York",40.8855,-73.5012,https://www.rei.com/campgrounds/camp/115208172/theodore-roosevelt-home,https://www.rei.com/assets/camp/images/campground-placeholder-image/live.png,0.0
16,"3 Dollar Bill 260 Meserole St, Brooklyn, NY, 11206, USA",115196040.0,Camp Gateway- Brooklyn Ny,True,True,"East New York, New York",40.5958,-73.8858,https://www.rei.com/campgrounds/camp/115196040/camp-gateway-brooklyn-ny,https://cdn.recreation.gov/public/images/69035.jpg,45.0
17,"3 Dollar Bill 260 Meserole St, Brooklyn, NY, 11206, USA",115197387.0,Camp Gateway - Staten Island,True,True,"Bensonhurst, New York",40.6036,-74.0588,https://www.rei.com/campgrounds/camp/115197387/camp-gateway-staten-island,https://cdn.recreation.gov/public/2018/08/16/21/32/463c611c-0d36-41da-9343-cb04112f7eac_450.jpg,7.0
18,"3 Dollar Bill 260 Meserole St, Brooklyn, NY, 11206, USA",115197386.0,Camp Gateway - Sandy Hook,True,True,"Highlands, New Jersey",40.4492,-73.9961,https://www.rei.com/campgrounds/camp/115197386/camp-gateway-sandy-hook,https://cdn.recreation.gov/public/2018/08/02/15/18/2a224b26-473b-4320-87b5-f9eaa1e404b9_450.jpg,20.0
19,"3 Dollar Bill 260 Meserole St, Brooklyn, NY, 11206, USA",115208172.0,Theodore Roosevelt Home,False,False,"Oyster Bay Cove, New York",40.8855,-73.5012,https://www.rei.com/campgrounds/camp/115208172/theodore-roosevelt-home,https://www.rei.com/assets/camp/images/campground-placeholder-image/live.png,0.0
20,"395 Wythe Ave; Brooklyn, NY 11249; USA",115196040.0,Camp Gateway- Brooklyn Ny,True,True,"East New York, New York",40.5958,-73.8858,https://www.rei.com/campgrounds/camp/115196040/camp-gateway-brooklyn-ny,https://cdn.recreation.gov/public/images/69035.jpg,45.0
21,"395 Wythe Ave; Brooklyn, NY 11249; USA",115197387.0,Camp Gateway - Staten Island,True,True,"Bensonhurst, New York",40.6036,-74.0588,https://www.rei.com/campgrounds/camp/115197387/camp-gateway-staten-island,https://cdn.recreation.gov/public/2018/08/16/21/32/463c611c-0d36-41da-9343-cb04112f7eac_450.jpg,7.0
22,"395 Wythe Ave; Brooklyn, NY 11249; USA",115197386.0,Camp Gateway - Sandy Hook,True,True,"Highlands, New Jersey",40.4492,-73.9961,https://www.rei.com/campgrounds/camp/115197386/camp-gateway-sandy-hook,https://cdn.recreation.gov/public/2018/08/02/15/18/2a224b26-473b-4320-87b5-f9eaa1e404b9_450.jpg,20.0
23,"395 Wythe Ave; Brooklyn, NY 11249; USA",115208172.0,Theodore Roosevelt Home,False,False,"Oyster Bay Cove, New York",40.8855,-73.5012,https://www.rei.com/campgrounds/camp/115208172/theodore-roosevelt-home,https://www.rei.com/assets/camp/images/campground-placeholder-image/live.png,0.0
24,"1271 Myrtle Ave; Brooklyn, NY 11221; United States",115196040.0,Camp Gateway- Brooklyn Ny,True,True,"East New York, New York",40.5958,-73.8858,https://www.rei.com/campgrounds/camp/115196040/camp-gateway-brooklyn-ny,https://cdn.recreation.gov/public/images/69035.jpg,45.0
25,"1271 Myrtle Ave; Brooklyn, NY 11221; United States",115197387.0,Camp Gateway - Staten Island,True,True,"Bensonhurst, New York",40.6036,-74.0588,https://www.rei.com/campgrounds/camp/115197387/camp-gateway-staten-island,https://cdn.recreation.gov/public/2018/08/16/21/32/463c611c-0d36-41da-9343-cb04112f7eac_450.jpg,7.0
26,"1271 Myrtle Ave; Brooklyn, NY 11221; United States",115197386.0,Camp Gateway - Sandy Hook,True,True,"Highlands, New Jersey",40.4492,-73.9961,https://www.rei.com/campgrounds/camp/115197386/camp-gateway-sandy-hook,https://cdn.recreation.gov/public/2018/08/02/15/18/2a224b26-473b-4320-87b5-f9eaa1e404b9_450.jpg,20.0
27,"1271 Myrtle Ave; Brooklyn, NY 11221; United States",115208172.0,Theodore Roosevelt Home,False,False,"Oyster Bay Cove, New York",40.8855,-73.5012,https://www.rei.com/campgrounds/camp/115208172/theodore-roosevelt-home,https://www.rei.com/assets/camp/images/campground-placeholder-image/live.png,0.0
28,490 Chestnut NYC 11516,115196040.0,Camp Gateway- Brooklyn Ny,True,True,"East New York, New York",40.5958,-73.8858,https://www.rei.com/campgrounds/camp/115196040/camp-gateway-brooklyn-ny,https://cdn.recreation.gov/public/images/69035.jpg,45.0
