,date,event_name,place,city,country,link,event_time,Address,Cost,Minimum age,Promoters,lineup,description,coordinates
0,1/1/2020,The Breakfast Club - New Years Day 2020 with John Tejada & More,The Monkey Loft,seattle,us,https://www.residentadvisor.net/events/1358885,04:00 - 16:00New Years Day,2917 1st Ave So. Seattle WA 98134,$25 ,21+,Shameless Productions,"John Tejada, Tara Brooks, Jay Tripwire, Mary Droppinz, Nordic Soul, Pezzner, Red Star, Kinjo, Konifer, Unknown ?layer, Julie Herrera, Tek Jones, Claudia Martinez, Arson Nicki, LGSP Featuring Annabelle Lea on vocals, Moist Towelette, Meow Pals, Aivilo, Snapdragon, Ramiro, Jon Lee, Wesley Holmes, Recess","We're back! What started at ETG has been carrying on at Monkey Loft. For the 9th year in a row, Shameless is continuing our tradition of throwing a New Years DAY party and it'll once again take place on our favorite rooftop rain or shine. This year we're continuing to curate 3 rooms of music to help our friends/family start 2020 off right! Just Ups & Still Ups unite! /  / Limited advance tickets allow ticket holders access to a separate entry line. There will also be plenty of tickets available at the door starting at 4a.","('47.577129', '-122.334469')"
1,1/3/2020,Chillography and Re-bar present Dub Techno All Night,Re-Bar,seattle,us,https://www.residentadvisor.net/events/1365599,22:00 - 02:00,"1114 Howell Street; Seattle, WA 98101; United States",Free,21+,Blue Spectral Storm,"Summit Dub, Alex Flores, Waste Management, Dane Garfield Wilson","The perfect way to chill after the end of 2019. Lush, dubby, spacy sounds from some of Seattle's classics. /  / Alex Flores (Depth, p|M) /  / Summit Dub (LovingTouch/Ahaad) / https://soundcloud.com/mchateau /  / Dane Garfield Wilson (Flammable, Re-bar) / http://www.mixcloud.com./danegarfiedwilson /  / Waste Management  / https://www.mixcloud.com/wastemanagement/ /  / Re-bar Seattle (est. 1990) 1114 Howell St Seattle WA 98101 / www.rebarseattle.com  / 21+w/ID / Free / ADA Accessible","('47.6166458', '-122.3310731')"
2,1/3/2020,Tenth Aesthetic: Dean Grenier,Kremwerk,seattle,us,https://www.residentadvisor.net/events/1358947,22:30 - 02:00,"1809 Minor Ave #10, Seattle, Washington 98101",$15.00 ,21+,unknown,"Dean Grenier, , Sharlese, , Ol' Skinny, , Cereus","To start off the new year /just/ right, we are excited to have Dean Grenier come rock the decks with us at Kremwerk. /  / With his roots as a pioneering producer and DJ of American underground bass music, Dean Grenier continues his musical evolution into new techno-infused architectural landscapes. Recent releases on OMNIDISC, SISTER CITY LIMITED, BOYSNOIZE RECORDS and BROMANCE have brought new international attention and acclaim. /  / In addition to solo works Dean founded the record label and production outfit SISTER CITY along with collaborators EPROM and HEJ FUND. He is also a member of LA-based techno collective SUBSTANCE with a monthly night at famed Hollywood venue Sound Nightclub. /  / Dean Grenier’s DJ sets reflect a focus on deep and driving techno for which his recent production explorations have become known. His DJ talents have brought him all over the world, including the legendary club FABRIC in London and numerous tours around Europe and North America. /  / Soundcloud: https://soundcloud.com/deangrenier /  / With support from Sharlese, Ol' Skinny, Cereus /  / 15$ at the door /  / ========= / The Kremwerk + Timbre Room Complex strives to be a safer space. The following actions or display of behavior will not be tolerated: bigotry, racism, sexism, transphobia, homophobia, misogyny, ableism, as well as the disrespect of the rules of consent. Our staff is here to support you.  /  / Kremwerk is currently not an ADA accessible space. Club entry is through a flight of 12 metal stairs, with two small steps leading into the main part of the club. We have 2 restrooms with a total of 3 stalls and 1 urinal, all gender neutral. /  / For any questions about safety & accessibility, please email [email protected]","('47.6168713', '-122.3311299')"
3,1/4/2020,Bounce Brunch Winter Onesieland ft Mind,Large,seattle,us,https://www.residentadvisor.net/events/1360736,12:00 - 18:00,"9839 17th Ave SW, Seattle, WA 98106",Free,unknown,Bounce Brunch Events,"Mind at Large, DJ Trinitron","**FREE** Time to get warm and cozy inside, so ONESIES it is!  / Eggs BEATS and bacon with tasty drinks  / *OPEN DECKS 12-1pm see below for details* / **KID & DOG FRIENDLY** /  / GUEST DJ's  / The MIND at LARGE crew! /  / Resident: DJ Trinitron /  / MASSAGE CHAIR by TBA /  / THE ORIGINAL HOUSE MUSIC BRUNCH / living the dream since 2011 / *No reservation needed..... we'll cram ALL of you up in here on the patio, inside, in the bar, in the back by the fire pit, on the stoop... /  / **OPEN DECKS: first come first served sign ups. Please do not play above 128bpm, no trap, no dubstep. It's a day party, please bring the right vibe: deep house, minimal, chillout, old school R&B, soul, funk, disco. If it sounds like an angry robot, it's not the right track","('47.5188218', '-122.3564818')"
4,1/4/2020,Reflect 1st S,urdays,seattle,us,https://www.residentadvisor.net/events/1364835,21:00 - 02:00,"1508 11th Ave, Seattle, Washington 98122",Free!,21+,Reflect,"Black Velveteen, Citrus Age b2b DYR, Sloth b2b Oli.E, ",The Reflect crew will be crawling out of hibernation to summon in some winter magic. Come dance with us! /  / This month we’re excited to host Black Velveteen as our guest DJ. Come transcend the winter in the Vermillion back bar.,"('47.6144145', '-122.3179029')"
5,1/4/2020,Bloom fe,. P. Ross,seattle,us,https://www.residentadvisor.net/events/1368176,22:00 - 02:00,"1809 Minor Ave #10, Seattle, Washington 98101",$8.00 ,21+,unknown,"TIMBRE ROOM | P. Ross, Gag Reflex","A cerebral sonic experience, we welcome you to expand your petals and reach towards the unknown. On this night, we welcome you to BLOOM. /  / BLOOM is a techno-oriented and genre-spanning engagement, featuring very special guests with support from resident selector Gag Reflex. /  / For this next installment of BLOOM, we welcome: /  / P. Ross / https://soundcloud.com/p_ross /  / Bloom Resident: / Gag Reflex [TUF, Airtight] /  / Saturday, January 4 / 10PM / $8 at the Door / =========== / Timbre Room / 1809 Minor Ave / Seattle, WA / 21+  / =========== / Timbre Room does not tolerate bigotry, sexism, homophobia, transphobia, racism, misogyny, ableism, or any discriminatory actions. Security is strictly enforcing these rules, and those who do not abide by these rules will be told to leave.  /  / Timbre Room is ADA accessible with a ramp to the front door/bar area, and access to the back door/dance area through the patio area, and 2 accessible gender neutral restrooms available. If you have any questions about the safety or accessibility of this venue, please email [email protected]","('47.6168713', '-122.3311299')"
6,1/5/2020,Andrei Swipe and Nikolay Cloud Rock Flammable,Re-Bar,seattle,us,https://www.residentadvisor.net/events/1364552,22:00 - 02:30,"1114 Howell Street; Seattle, WA 98101; United States",TBD,21+,Blue Spectral Storm,"Andrei Swipe, Rewired, Nikolay Cloud, Brian Lyons","The longest running house music weekly is at the Re-bar every Sunday night! Now in its 24th year, expect lush sounds straight from the locals to international headlining DJs/ producers every week. /  / Flammable is proud to present: / Andrei Swipe AKA Rewired (RTS.fm) / https://soundcloud.com / /andreiswipe /  / Nikolay Cloud (Viva!) / https://soundcloud.com/nikolaycloud /  / Eugene Mich (Looters) / https://soundcloud.com/mchateau /  / Brian Lyons (Flammable) / https://soundcloud.com/brian-lyons-755172844 /  / Re-bar 1114 Howell St Seattle WA 98101 / www.rebarseattle.com / 21+ w / ID / $TBD / ADA Accessible","('47.6166458', '-122.3310731')"
7,1/7/2020,"DnB Tuesdays with Lunchmoney, Press, Krunchy",Re-Bar,seattle,us,https://www.residentadvisor.net/events/1365598,21:00 - 02:00,"1114 Howell Street; Seattle, WA 98101; United States",$5 ,21+,Blue Spectral Storm,"Lunchmoney, Press , Krunchy","01.07.2019 /  / ► Lunchmoney / https://soundcloud.com/lunch-money / https://www.mixcloud.com/LunchMoneyDnB /  / ► Press / Shift // Onset Audio // Gradient Audio /  / ► Krunchy / Krunchy Audio / https://www.facebook.com/DJ-KRUNCHY-225771520553/ /  / -- / Cover $5 | Drink Specials | 21+ | Every Tuesday / Open Decks 9-10PM - CD or USB only / __________________________________________ / Thank YOU for your support of DNB Tuesdays! / Follow us here: / https://twitter.com/DnBtuesdays / https://www.facebook.com/dnbtuesdays / http://instagram.com/dnbtuesdays_sea/ / https://soundcloud.com/dnbtuesday / https://twitch.tv/dnbtuesdayssea / DNB Tuesdays - Bringing you over 21 dedicated years of Drum and Bass artists, and local talent in Seattle! /  / Re-bar 1114 Howell St Seattle WA 98101 / www.rebarseattle.com / 21+ w/ID / ADA Accessible","('47.6166458', '-122.3310731')"
8,1/9/2020,"Tenth Aesthetic: Local Incursion with Demah, Floston, Binah",Kremwerk,seattle,us,https://www.residentadvisor.net/events/1368178,21:00 - 01:00,"1809 Minor Ave #10, Seattle, Washington 98101","5$ before 10pm, 10$ after",21+,unknown,"Demah, Floston, Binah","At Tenth Aesthetic we're all about celebrating Techno. Sometimes we do this by booking national and international artists. This time the spotlight is for locals. /  / On decks we have Demah, Floston and resident Binah. /  / Check out Demah's latest mix and hear for yourself why she's an upcoming force: https://www.mixcloud.com/demah/social-revolution/ /  / Floston's sound is one that is evolving rapidly and going deeper and deeper into techno realms. https://soundcloud.com/flostonofficial /  / Binah shouldn't need much more introduction, but if you only know her for Breaks, you should definitely check out her techno sound: https://www.mixcloud.com/Binah/binah-depth-may-24-2018/ /  / This night is in collaboration with Haused, and discounted combo tix will be available for those who wish to visit both Timbre Room and Kremwerk. /  / 5$ before 10pm, 10$ after / Combo tix: 15$ /  / =========== / Timbre Room / 1809 Minor Ave / Seattle, WA / 21+ w/ID / =========== / Timbre Room does not tolerate bigotry, sexism, homophobia, transphobia, racism, misogyny, ableism, or any discriminatory actions. Security is strictly enforcing these rules, and those who do not abide by these rules will be told to leave.  /  / Timbre Room is ADA accessible with a ramp to the front door/bar area, and access to the back door/dance area through the patio area, and 2 accessible gender neutral restrooms available. If you have any questions about the safety or accessibility of this venue, please email [email protected]","('47.6168713', '-122.3311299')"
9,1/9/2020,Field Trip 102: Tony Romera,Q Nightclub,seattle,us,https://www.residentadvisor.net/events/1357573,21:00 - 02:00,"1426 Broadway, Seattle, WA.",$10 ,21+,unknown,Tony Romera,"Q Nightclub presents Field Trip featuring /  / Tony Romera / https://soundcloud.com/tonyromera / https://www.facebook.com/TonyRomera/ / https://twitter.com/tonyromera / https://www.instagram.com/tonyromera/ /  / Tony Romera first stepped onto the scene 8 years ago as a fresh-faced 20 year old looking to make waves and disrupt the conventional EDM world with his unique style and French-house inspired beats. /  / Since then he's been busy releasing music and experimenting with different sounds and styles, attracting power house labels such as OWSLA, Mad Decent, and Confession. Not to mention official remixes for Calvin Harris, Nicky Romero, Diplo, KUNGS and Fedde Le Grand on their respective labels. His latest music has gained new admirers in the likes of Diplo, Skrillex, and most importantly his french peers a.k.a. the Pardon My French Crew, DJ Snake, Mercer, Tchami, and Malaa. /  / His releases in the past year on OWSLA, Confession, Monstercat and Insomniac Records have really brought him a whole new fan base and respect among producers.  /  / Tony started his own label SANS MERCI to discover some young cool artists, release the tracks of his friends, and of course put out his own tracks. SANS MERCI keeps a particular vibe, each track is different from the last while staying true to their vision. With tracks from Keeld, Bellecour, Basstrick, GODAMN and more... SANS MERCI has just begun. /  / With support from  / SILVER B2B ROHRY / GRAYMATTER B2B JAMES GATZ / JAY PEEKI /  / ---- /  / Field Trip is our night for electronic music - mostly house, trance, breaks, and bass house. Recent headliners include Tchami, AC Slater, Pete Tong, Luttrell, and Sander Van Doorn.","('47.613746', '-122.3203363')"
