,data_type,tax_status,year,month,type,month_current,month_prior_year,ytd_current,ytd_prior_year,tax_rate
0,Barrels Produced,Totals,2008,1,Production,16211480,15880125,16211480.0,15880125.0,$7/$18 per barrel
1,Barrels Produced,Taxable,2008,1,In bottles and cans,13222104,12824278,13222104.0,12824278.0,$7/$18 per barrel
2,Barrels Produced,Taxable,2008,1,In barrels and kegs,1371239,1357372,1371239.0,1357372.0,$7/$18 per barrel
3,Barrels Produced,Taxable,2008,1,"Tax Determined, Premises Use",7426,8419,7426.0,8419.0,$7/$18 per barrel
4,Barrels Produced,Sub Total Taxable,2008,1,Sub Total Taxable,14600769,14190069,14600769.0,14190069.0,$7/$18 per barrel
5,Barrels Produced,Tax Free,2008,1,For export,262985,268473,262985.0,268473.0,$7/$18 per barrel
6,Barrels Produced,Tax Free,2008,1,For vessels and aircraft,0,0,0.0,0.0,$7/$18 per barrel
7,Barrels Produced,Tax Free,2008,1,Consumed on brewery premises,708,885,708.0,885.0,$7/$18 per barrel
8,Barrels Produced,Sub Total Tax-Free,2008,1,Sub Total Tax-Free,263693,269358,263693.0,269358.0,$7/$18 per barrel
9,Barrels Produced,Totals,2008,1,Total Removals,14864462,14459427,14864462.0,14459427.0,$7/$18 per barrel
10,Barrels Produced,Totals,2008,1,Stocks On Hand end-of-month:,10230147,10614074,10230147.0,10614074.0,$7/$18 per barrel
11,Barrels Produced,Totals,2008,2,Production,15690494,15284087,31909489.0,31164212.0,$7/$18 per barrel
12,Barrels Produced,Taxable,2008,2,In bottles and cans,13051864,12209114,26279336.0,25033392.0,$7/$18 per barrel
13,Barrels Produced,Taxable,2008,2,In barrels and kegs,1250974,1197553,2622225.0,2554925.0,$7/$18 per barrel
14,Barrels Produced,Taxable,2008,2,"Tax Determined, Premises Use",7558,8090,15035.0,16509.0,$7/$18 per barrel
15,Barrels Produced,Sub Total Taxable,2008,2,Sub Total Taxable,14310396,13414757,28916596.0,27604826.0,$7/$18 per barrel
16,Barrels Produced,Tax Free,2008,2,For export,286593,266301,550005.0,534774.0,$7/$18 per barrel
17,Barrels Produced,Tax Free,2008,2,For vessels and aircraft,0,0,0.0,0.0,$7/$18 per barrel
18,Barrels Produced,Tax Free,2008,2,Consumed on brewery premises,671,732,1379.0,1617.0,$7/$18 per barrel
19,Barrels Produced,Sub Total Tax-Free,2008,2,Sub Total Tax-Free,287264,267033,551384.0,536391.0,$7/$18 per barrel
20,Barrels Produced,Totals,2008,2,Total Removals,14597660,13681790,29467980.0,28141217.0,$7/$18 per barrel
21,Barrels Produced,Totals,2008,2,Stocks On Hand end-of-month:,10497860,11277649,20745169.0,21891723.0,$7/$18 per barrel
22,Barrels Produced,Totals,2008,3,Production,17367476,17388588,49277784.0,48552848.0,$7/$18 per barrel
23,Barrels Produced,Taxable,2008,3,In bottles and cans,13901582,14386284,40182359.0,39419676.0,$7/$18 per barrel
24,Barrels Produced,Taxable,2008,3,In barrels and kegs,1449849,1514744,4072222.0,4069669.0,$7/$18 per barrel
25,Barrels Produced,Taxable,2008,3,"Tax Determined, Premises Use",88816,88291,103886.0,104834.0,$7/$18 per barrel
26,Barrels Produced,Sub Total Taxable,2008,3,Sub Total Taxable,15440247,15989319,44358467.0,43594179.0,$7/$18 per barrel
27,Barrels Produced,Tax Free,2008,3,For export,309529,306542,859534.0,841316.0,$7/$18 per barrel
28,Barrels Produced,Tax Free,2008,3,For vessels and aircraft,3,0,3.0,0.0,$7/$18 per barrel
29,Barrels Produced,Tax Free,2008,3,Consumed on brewery premises,7417,8624,8796.0,10241.0,$7/$18 per barrel
30,Barrels Produced,Sub Total Tax-Free,2008,3,Sub Total Tax-Free,316949,315166,868333.0,851557.0,$7/$18 per barrel
31,Barrels Produced,Totals,2008,3,Total Removals,15757196,16304485,45226800.0,44445736.0,$7/$18 per barrel
32,Barrels Produced,Totals,2008,3,Stocks On Hand end-of-month:,11192957,11406260,31929810.0,33298974.0,$7/$18 per barrel
33,Barrels Produced,Totals,2008,4,Production,17254160,16777943,66535007.0,65331867.0,$7/$18 per barrel
34,Barrels Produced,Taxable,2008,4,In bottles and cans,14361125,13720960,54544594.0,53140372.0,$7/$18 per barrel
35,Barrels Produced,Taxable,2008,4,In barrels and kegs,1457124,1323587,5531773.0,5394086.0,$7/$18 per barrel
36,Barrels Produced,Taxable,2008,4,"Tax Determined, Premises Use",8561,8230,113354.0,113569.0,$7/$18 per barrel
37,Barrels Produced,Sub Total Taxable,2008,4,Sub Total Taxable,15826810,15052777,60189721.0,58648027.0,$7/$18 per barrel
38,Barrels Produced,Tax Free,2008,4,For export,361949,325058,1221483.0,1166374.0,$7/$18 per barrel
39,Barrels Produced,Tax Free,2008,4,For vessels and aircraft,0,0,3.0,0.0,$7/$18 per barrel
40,Barrels Produced,Tax Free,2008,4,Consumed on brewery premises,821,922,9605.0,11163.0,$7/$18 per barrel
41,Barrels Produced,Sub Total Tax-Free,2008,4,Sub Total Tax-Free,362770,325980,1231091.0,1177537.0,$7/$18 per barrel
42,Barrels Produced,Totals,2008,4,Total Removals,16189580,15378757,61420812.0,59825564.0,$7/$18 per barrel
43,Barrels Produced,Totals,2008,4,Stocks On Hand end-of-month:,11250055,11705240,43182802.0,45004356.0,$7/$18 per barrel
44,Barrels Produced,Totals,2008,5,Production,18269043,18465892,84810051.0,83798440.0,$7/$18 per barrel
45,Barrels Produced,Taxable,2008,5,In bottles and cans,15421462,15480560,69966780.0,68620932.0,$7/$18 per barrel
46,Barrels Produced,Taxable,2008,5,In barrels and kegs,1489290,1538454,7023496.0,6932676.0,$7/$18 per barrel
47,Barrels Produced,Taxable,2008,5,"Tax Determined, Premises Use",8720,8786,123576.0,122701.0,$7/$18 per barrel
48,Barrels Produced,Sub Total Taxable,2008,5,Sub Total Taxable,16919472,17027800,77113852.0,75676309.0,$7/$18 per barrel
49,Barrels Produced,Tax Free,2008,5,For export,356217,372808,1577700.0,1539182.0,$7/$18 per barrel
50,Barrels Produced,Tax Free,2008,5,For vessels and aircraft,0,0,3.0,0.0,$7/$18 per barrel
51,Barrels Produced,Tax Free,2008,5,Consumed on brewery premises,1112,1007,10778.0,12170.0,$7/$18 per barrel
52,Barrels Produced,Sub Total Tax-Free,2008,5,Sub Total Tax-Free,357329,373815,1588481.0,1551352.0,$7/$18 per barrel
53,Barrels Produced,Totals,2008,5,Total Removals,17276801,17401615,78702333.0,77227661.0,$7/$18 per barrel
54,Barrels Produced,Totals,2008,5,Stocks On Hand end-of-month:,11232195,11567462,54416209.0,56572086.0,$7/$18 per barrel
55,Barrels Produced,Totals,2008,6,Production,18260630,18598996,103076390.0,102399082.0,$7/$18 per barrel
56,Barrels Produced,Taxable,2008,6,In bottles and cans,15232754,15536983,85200564.0,84158452.0,$7/$18 per barrel
57,Barrels Produced,Taxable,2008,6,In barrels and kegs,1609215,1601923,8635412.0,8535042.0,$7/$18 per barrel
58,Barrels Produced,Taxable,2008,6,"Tax Determined, Premises Use",94611,95797,220085.0,219322.0,$7/$18 per barrel
59,Barrels Produced,Sub Total Taxable,2008,6,Sub Total Taxable,16936580,17234703,94056061.0,92912816.0,$7/$18 per barrel
60,Barrels Produced,Tax Free,2008,6,For export,393200,372029,1970900.0,1911211.0,$7/$18 per barrel
61,Barrels Produced,Tax Free,2008,6,For vessels and aircraft,0,4,3.0,4.0,$7/$18 per barrel
62,Barrels Produced,Tax Free,2008,6,Consumed on brewery premises,7671,8375,18449.0,20547.0,$7/$18 per barrel
63,Barrels Produced,Sub Total Tax-Free,2008,6,Sub Total Tax-Free,400871,380408,1989352.0,1931762.0,$7/$18 per barrel
64,Barrels Produced,Totals,2008,6,Total Removals,17337451,17615111,96045413.0,94844578.0,$7/$18 per barrel
65,Barrels Produced,Totals,2008,6,Stocks On Hand end-of-month:,7417493,11417965,61834863.0,67990913.0,$7/$18 per barrel
66,Barrels Produced,Totals,2008,7,Production,18053127,18253083,121129603.0,120652165.0,$7/$18 per barrel
67,Barrels Produced,Taxable,2008,7,In bottles and cans,15146751,15137265,100347225.0,99295717.0,$7/$18 per barrel
68,Barrels Produced,Taxable,2008,7,In barrels and kegs,1508853,1487897,10144235.0,10022939.0,$7/$18 per barrel
69,Barrels Produced,Taxable,2008,7,"Tax Determined, Premises Use",7379,9101,227519.0,228423.0,$7/$18 per barrel
70,Barrels Produced,Sub Total Taxable,2008,7,Sub Total Taxable,16662983,16634263,110718979.0,109547079.0,$7/$18 per barrel
71,Barrels Produced,Tax Free,2008,7,For export,386143,345275,2357043.0,2256486.0,$7/$18 per barrel
72,Barrels Produced,Tax Free,2008,7,For vessels and aircraft,0,0,3.0,4.0,$7/$18 per barrel
73,Barrels Produced,Tax Free,2008,7,Consumed on brewery premises,1107,1132,19556.0,21679.0,$7/$18 per barrel
74,Barrels Produced,Sub Total Tax-Free,2008,7,Sub Total Tax-Free,387250,346407,2376602.0,2278169.0,$7/$18 per barrel
75,Barrels Produced,Totals,2008,7,Total Removals,17050233,16980670,113095581.0,111825248.0,$7/$18 per barrel
76,Barrels Produced,Totals,2008,7,Stocks On Hand end-of-month:,11045264,11438348,72880123.0,79429261.0,$7/$18 per barrel
77,Barrels Produced,Totals,2008,8,Production,17789299,17757005,138929984.0,138409693.0,$7/$18 per barrel
78,Barrels Produced,Taxable,2008,8,In bottles and cans,14973940,15075662,115326128.0,114371382.0,$7/$18 per barrel
79,Barrels Produced,Taxable,2008,8,In barrels and kegs,1470549,1565871,11616741.0,11588754.0,$7/$18 per barrel
80,Barrels Produced,Taxable,2008,8,"Tax Determined, Premises Use",6700,9317,235563.0,237980.0,$7/$18 per barrel
81,Barrels Produced,Sub Total Taxable,2008,8,Sub Total Taxable,16451189,16650850,127178432.0,126198116.0,$7/$18 per barrel
82,Barrels Produced,Tax Free,2008,8,For export,343909,299548,2701323.0,2556034.0,$7/$18 per barrel
83,Barrels Produced,Tax Free,2008,8,For vessels and aircraft,0,0,3.0,4.0,$7/$18 per barrel
84,Barrels Produced,Tax Free,2008,8,Consumed on brewery premises,989,1010,20748.0,22868.0,$7/$18 per barrel
85,Barrels Produced,Sub Total Tax-Free,2008,8,Sub Total Tax-Free,344898,300558,2722074.0,2578906.0,$7/$18 per barrel
86,Barrels Produced,Totals,2008,8,Total Removals,16796087,16951408,129900506.0,128777022.0,$7/$18 per barrel
87,Barrels Produced,Totals,2008,8,Stocks On Hand end-of-month:,11176226,11196559,84064572.0,90623496.0,$7/$18 per barrel
88,Barrels Produced,Totals,2008,9,Production,16339080,16149482,155252215.0,154565349.0,$7/$18 per barrel
89,Barrels Produced,Taxable,2008,9,In bottles and cans,14425354,13754271,129738065.0,128128358.0,$7/$18 per barrel
90,Barrels Produced,Taxable,2008,9,In barrels and kegs,1549416,1471829,13166442.0,13063537.0,$7/$18 per barrel
91,Barrels Produced,Taxable,2008,9,"Tax Determined, Premises Use",99250,100199,336342.0,339064.0,$7/$18 per barrel
92,Barrels Produced,Sub Total Taxable,2008,9,Sub Total Taxable,16074020,15326299,143240849.0,141530959.0,$7/$18 per barrel
93,Barrels Produced,Tax Free,2008,9,For export,339918,293745,3041200.0,2849779.0,$7/$18 per barrel
94,Barrels Produced,Tax Free,2008,9,For vessels and aircraft,101,3,104.0,7.0,$7/$18 per barrel
95,Barrels Produced,Tax Free,2008,9,Consumed on brewery premises,8688,8832,29486.0,31343.0,$7/$18 per barrel
96,Barrels Produced,Sub Total Tax-Free,2008,9,Sub Total Tax-Free,348707,302580,3070790.0,2881129.0,$7/$18 per barrel
97,Barrels Produced,Totals,2008,9,Total Removals,16422727,15628879,146311639.0,144412088.0,$7/$18 per barrel
98,Barrels Produced,Totals,2008,9,Stocks On Hand end-of-month:,10173817,10857392,94238752.0,101485100.0,$7/$18 per barrel
99,Barrels Produced,Totals,2008,10,Production,15951285,15575040,171203500.0,170140389.0,$7/$18 per barrel
100,Barrels Produced,Taxable,2008,10,In bottles and cans,13544598,13306652,143282663.0,141435010.0,$7/$18 per barrel
101,Barrels Produced,Taxable,2008,10,In barrels and kegs,1407315,1483250,14573757.0,14546787.0,$7/$18 per barrel
102,Barrels Produced,Taxable,2008,10,"Tax Determined, Premises Use",7430,9131,343772.0,348195.0,$7/$18 per barrel
103,Barrels Produced,Sub Total Taxable,2008,10,Sub Total Taxable,14959343,14799033,158200192.0,156329992.0,$7/$18 per barrel
104,Barrels Produced,Tax Free,2008,10,For export,358387,357011,3399587.0,3206790.0,$7/$18 per barrel
105,Barrels Produced,Tax Free,2008,10,For vessels and aircraft,0,0,104.0,7.0,$7/$18 per barrel
106,Barrels Produced,Tax Free,2008,10,Consumed on brewery premises,806,823,30292.0,32166.0,$7/$18 per barrel
107,Barrels Produced,Sub Total Tax-Free,2008,10,Sub Total Tax-Free,359193,357834,3429983.0,3238963.0,$7/$18 per barrel
108,Barrels Produced,Totals,2008,10,Total Removals,15318536,15156867,161630175.0,159568955.0,$7/$18 per barrel
109,Barrels Produced,Totals,2008,10,Stocks On Hand end-of-month:,9862381,10161980,104101133.0,111647080.0,$7/$18 per barrel
110,Barrels Produced,Totals,2008,11,Production,14301054,14920104,185504554.0,185060493.0,$7/$18 per barrel
111,Barrels Produced,Taxable,2008,11,In bottles and cans,11895613,12235442,155178276.0,153670452.0,$7/$18 per barrel
112,Barrels Produced,Taxable,2008,11,In barrels and kegs,1230087,1326900,15803844.0,15873687.0,$7/$18 per barrel
113,Barrels Produced,Taxable,2008,11,"Tax Determined, Premises Use",6424,8687,350196.0,356882.0,$7/$18 per barrel
114,Barrels Produced,Sub Total Taxable,2008,11,Sub Total Taxable,13132124,13571029,171332316.0,169901021.0,$7/$18 per barrel
115,Barrels Produced,Tax Free,2008,11,For export,363547,361885,3763134.0,3568675.0,$7/$18 per barrel
116,Barrels Produced,Tax Free,2008,11,For vessels and aircraft,0,0,104.0,7.0,$7/$18 per barrel
117,Barrels Produced,Tax Free,2008,11,Consumed on brewery premises,619,735,30911.0,32901.0,$7/$18 per barrel
