,year,brewer_size,n_of_brewers,total_barrels,taxable_removals,total_shipped
0,2009,"6,000,001 Barrels and Over",18,171232881.59,159643984.23,3639970.0
1,2009,"1,000,001 to 6,000,000 Barrels",4,9970404.28,9592722.75,14548.0
2,2009,"500,001 to 1,000,000 Barrels",7,4831385.68,4535659.48,21563.0
3,2009,"100,001 to 500,000 Barrels",27,5422155.72,4469288.93,128000.0
4,2009,"60,001 to 100,000 Barrels",19,1501976.56,1224618.44,95732.0
5,2009,"30,001 to 60,000 Barrels",32,1412244.73,1233958.75,14369.0
6,2009,"15,001 to 30,000 Barrels",40,895133.22,750528.77,19808.0
7,2009,"7,501 to 15,000 Barrels",42,442753.54,388968.45,240.0
8,2009,"1,001 to 7,500 Barrels",357,859934.81,769155.15,12.0
9,2009,"1 to 1,000 Barrels",1037,400401.17,371872.85,123.0
10,2009,Under 1 Barrel,195,3.7,14711.36,119.0
11,2009,Total,1778,196969275.0,182995469.16,3934233.0
12,2010,"6,000,001 Barrels and Over",17,160771860.70000002,149598222.82,3659459.0
13,2010,"1,000,000 to 6,000,000 Barrels",5,15450769.1,14777149.880000005,37401.0
14,2010,"500,001 to 1,000,000 Barrels",9,7138171.64,6362275.190000001,16610.0
15,2010,"100,001 to 500,000 Barrels",32,6123725.23,5127607.785000001,254925.0
16,2010,"60,001 to 100,000 Barrels",16,1226091.75,1034161.3879999999,12534.0
17,2010,"30,001 to 60,000 Barrels",38,1544051.1,1256492.475,42409.0
18,2010,"15,001 to 30,000 Barrels",40,911065.75,781016.1499999998,19077.0
19,2010,"7,501 to 15,000 Barrels",51,560159.3400000001,465843.88000000006,4521.0
20,2010,"1,001 to 7,500 Barrels",428,1059505.1630000006,962969.633,2227.0
21,2010,"1 to 1,000 Barrels",1178,426003.3829999997,393941.57000000007,1279.0
22,2010,Total,1814,195211403.156,180759680.771,4050445.0
23,2011,"6,000,001 Barrels and Over",16,138963353.84,128108304.25,3578089.0
24,2011,"2,000,000 to 6,000,000 Barrels",5,17703591.0,16695626.31,84271.0
25,2011,"1,000,001 to 1,999,999 Barrels",9,13524548.35,12843570.78,363998.0
26,2011,"500,001 to 1,000,000 Barrels",11,8448633.99,7946481.070000001,50702.0
27,2011,"100,001 to 500,000 Barrels",41,7926808.210000003,6624765.180000002,242865.0
28,2011,"60,001 to 100,000 Barrels",16,1157839.9,1059934.77,11701.0
29,2011,"30,001 to 60,000 Barrels",43,1754234.5499999996,1476996.368,52204.0
30,2011,"15,001 to 30,000 Barrels",42,893273.36,710825.6200000003,40413.0
