,data_type,material_type,year,month,type,month_current_year,month_prior_year,ytd_current,ytd_prior_year
0,Pounds of Materials Used,Grain Products,2008,1,Malt and malt products,374165152,365300134,374165152.0,365300134.0
1,Pounds of Materials Used,Grain Products,2008,1,Corn and corn products,57563519,41647092,57563519.0,41647092.0
2,Pounds of Materials Used,Grain Products,2008,1,Rice and rice products,72402143,81050102,72402143.0,81050102.0
3,Pounds of Materials Used,Grain Products,2008,1,Barley and barley products,3800844,2362162,3800844.0,2362162.0
4,Pounds of Materials Used,Grain Products,2008,1,Wheat and wheat products,1177186,1195381,1177186.0,1195381.0
5,Pounds of Materials Used,Total Grain products,2008,1,Total Grain products,509108844,491554871,509108844.0,491554871.0
6,Pounds of Materials Used,Non-Grain Products,2008,1,Sugar and syrups,78358212,83664091,78358212.0,83664091.0
7,Pounds of Materials Used,Non-Grain Products,2008,1,Hops (dry),4506546,2037754,4506546.0,2037754.0
8,Pounds of Materials Used,Non-Grain Products,2008,1,Hops (used as extracts),621912,411166,621912.0,411166.0
9,Pounds of Materials Used,Non-Grain Products,2008,1,Other,1291615,766735,1291615.0,766735.0
10,Pounds of Materials Used,Total Non-Grain products,2008,1,Total Non-Grain products,84778285,86879746,84778285.0,86879746.0
11,Pounds of Materials Used,Total Used,2008,1,Total Used,593887129,578434617,593887129.0,578434617.0
12,Pounds of Materials Used,Grain Products,2008,2,Malt and malt products,355687578,350035966,729852684.0,715336100.0
13,Pounds of Materials Used,Grain Products,2008,2,Corn and corn products,59513161,40939359,117076680.0,82586451.0
14,Pounds of Materials Used,Grain Products,2008,2,Rice and rice products,66061597,75004651,138927948.0,156054753.0
15,Pounds of Materials Used,Grain Products,2008,2,Barley and barley products,3236714,2573584,7038783.0,4935746.0
16,Pounds of Materials Used,Grain Products,2008,2,Wheat and wheat products,1240983,1074183,2418369.0,2269564.0
17,Pounds of Materials Used,Total Grain products,2008,2,Total Grain products,485740033,469627743,995314464.0,961182614.0
