"date","location","wind_gustdir","wind_gustspeed","wind_dir9am","wind_dir3pm","wind_speed9am","wind_speed3pm"
"2010-01-25","SydneyAirport","E",31,"ESE","E",7,22
"2010-01-25","WaggaWagga","W",33,"ENE","WSW",11,19
"2010-01-25","Williamtown","E",39,"SSW","ESE",11,22
"2010-01-25","Wollongong","NE",20,"SSW","NNE",4,7
"2010-01-25","Canberra",NA,NA,NA,NA,NA,NA
"2010-01-25","Tuggeranong","N",35,"SSE","N",7,19
"2010-01-25","MountGinini","NW",35,"NW",NA,13,NA
"2010-01-25","Ballarat","SE",44,"SE","SE",22,13
"2010-01-25","Bendigo",NA,NA,"SSE","SE",17,11
"2010-01-25","Sale","E",35,"WNW","SE",2,9
"2010-01-25","MelbourneAirport","S",33,"SE","S",13,20
"2010-01-25","Melbourne","S",33,"SE","S",13,20
"2010-01-25","Mildura","SE",22,"ESE","WNW",13,13
"2010-01-25","Portland","ESE",33,"ENE","SE",11,19
"2010-01-25","Watsonia","WSW",33,"SSE","WSW",6,22
"2010-01-25","Dartmoor","ESE",37,"E","WNW",15,9
"2010-01-25","Brisbane","ENE",28,"N","NNE",7,13
"2010-01-25","Cairns","NNW",37,"NNW","N",7,20
"2010-01-25","GoldCoast","NNE",33,"NE","NNE",15,30
"2010-01-25","Townsville","ENE",59,"E","NE",35,33
"2010-01-25","Adelaide","WNW",24,"SW","W",6,15
"2010-01-25","MountGambier","SW",35,"E","SSW",26,28
"2010-01-25","Nuriootpa","W",33,"E","SW",13,15
"2010-01-25","Woomera","ESE",35,"SE","SSW",17,20
"2010-01-25","Albany",NA,NA,"S","SSE",31,26
"2010-01-25","Witchcliffe","SSE",54,"SSE","SE",24,26
"2010-01-25","PearceRAAF","ESE",50,"NNE","SW",4,11
"2010-01-25","PerthAirport","SE",46,"ENE","WSW",11,22
"2010-01-25","Perth","SSE",37,"ENE","W",7,15
"2010-01-25","SalmonGums","S",54,"SSW","SSW",22,26
"2010-01-25","Walpole","SE",41,"SSE","SE",22,22
"2010-01-25","Hobart","SSE",33,"NNE","SE",7,19
"2010-01-25","Launceston","NW",39,"E","WNW",9,20
"2010-01-25","AliceSprings","E",35,"ESE","E",19,22
"2010-01-25","Darwin","W",48,"W","W",26,31
"2010-01-26","Albury","WSW",39,NA,"WSW",0,17
"2010-01-26","BadgerysCreek","ESE",41,"NNE",NA,9,NA
"2010-01-26","Cobar","SSW",33,"ESE","W",11,9
"2010-01-26","CoffsHarbour","NE",54,"SSW","NNE",7,31
"2010-01-26","Moree","N",33,"NNE","NNE",24,11
"2010-01-26","Newcastle",NA,NA,NA,"SE",0,4
"2010-01-26","NorahHead","S",44,"WSW","ESE",9,15
"2010-01-26","NorfolkIsland","SW",24,"NE","N",11,6
"2010-01-26","Penrith","WNW",41,NA,"S",NA,9
"2010-01-26","Richmond","NNW",46,"NW","NNE",2,7
"2010-01-26","Sydney",NA,NA,"NE","ENE",6,19
"2010-01-26","SydneyAirport","E",30,"NNE","E",15,22
"2010-01-26","WaggaWagga","SSW",46,"ENE","W",9,19
"2010-01-26","Williamtown","WSW",35,"N","NE",7,13
"2010-01-26","Wollongong","SSE",28,"SE","NNE",11,11
"2010-01-26","Canberra",NA,NA,NA,NA,NA,NA
"2010-01-26","Tuggeranong","SSW",35,"N","WSW",6,20
"2010-01-26","MountGinini","W",44,"W","SW",17,19
"2010-01-26","Ballarat","SSE",43,NA,"SSW",0,15
"2010-01-26","Bendigo","SSE",44,"SE","W",9,9
"2010-01-26","Sale","SSE",48,"WNW","SSE",7,31
"2010-01-26","MelbourneAirport","S",43,"SSW","SSE",11,26
"2010-01-26","Melbourne","S",43,"SSW","SSE",11,26
"2010-01-26","Mildura","S",48,"SSE","SSW",6,13
"2010-01-26","Portland","SSE",37,"SSW","SW",15,17
"2010-01-26","Watsonia","SSW",35,"S","SW",2,22
"2010-01-26","Dartmoor","SSW",41,"SSW","SSW",19,26
"2010-01-26","Brisbane","NE",31,"WSW","NE",4,15
"2010-01-26","Cairns","N",37,"N","SE",13,13
"2010-01-26","GoldCoast","NE",44,"NNW","NE",20,33
"2010-01-26","Townsville","NNE",48,"ESE","NNE",19,13
"2010-01-26","Adelaide","SE",31,"SW","SE",13,9
"2010-01-26","MountGambier","SSW",43,"S","SSW",24,30
"2010-01-26","Nuriootpa","SE",39,"SSW","ESE",6,15
"2010-01-26","Woomera","SE",43,"SE","SE",20,19
"2010-01-26","Albany",NA,NA,"SSE","SE",20,20
"2010-01-26","Witchcliffe","SSE",43,"E","SSE",17,24
"2010-01-26","PearceRAAF","E",67,"ESE","S",20,15
"2010-01-26","PerthAirport","ESE",52,"E","SSW",28,17
"2010-01-26","Perth","SE",37,"E","SW",13,20
"2010-01-26","SalmonGums","SE",43,"SSE","SSE",20,26
"2010-01-26","Walpole","SE",41,"ESE","ESE",20,22
"2010-01-26","Hobart","WNW",63,"NNW","SSW",28,31
"2010-01-26","Launceston","N",39,"WNW","NNW",7,26
"2010-01-26","AliceSprings","ESE",43,"ESE","E",9,26
"2010-01-26","Darwin","WSW",46,"W","WSW",22,28
"2010-01-27","Albury","W",43,"S","WSW",7,15
"2010-01-27","BadgerysCreek",NA,NA,"SE","E",13,22
"2010-01-27","Cobar","SSW",44,"NNE","SW",11,15
"2010-01-27","CoffsHarbour","SSW",46,"N","S",13,13
"2010-01-27","Moree","S",52,"NNE","ENE",20,13
"2010-01-27","Newcastle",NA,NA,"SE","SE",4,9
"2010-01-27","NorahHead","SSW",44,"S","SSE",31,28
"2010-01-27","NorfolkIsland","ESE",33,"ENE","SSE",17,15
"2010-01-27","Penrith","SE",33,"SE","E",13,19
"2010-01-27","Richmond","E",43,"ESE","ESE",19,28
"2010-01-27","Sydney",NA,NA,"S","SSE",19,20
"2010-01-27","SydneyAirport",NA,NA,"SSW","SSE",31,26
"2010-01-27","WaggaWagga","W",48,"ENE","WSW",24,20
"2010-01-27","Williamtown","S",43,"SE","SE",11,28
"2010-01-27","Wollongong","S",43,"SSE","SSE",28,15
"2010-01-27","Canberra",NA,NA,NA,NA,NA,NA
"2010-01-27","Tuggeranong","ENE",50,"E","NNW",9,11
"2010-01-27","MountGinini","WNW",33,"NE","NW",15,15
"2010-01-27","Ballarat","SE",46,"SE","SE",31,24
"2010-01-27","Bendigo","SSE",43,"SSE","S",20,17
"2010-01-27","Sale","ESE",30,"S","SE",11,15
"2010-01-27","MelbourneAirport","SSE",48,"SSE","S",22,26
"2010-01-27","Melbourne","SSE",48,"SSE","S",22,26
"2010-01-27","Mildura","SSE",37,"SE","S",20,17
"2010-01-27","Portland","ESE",35,"ESE","SE",20,20
"2010-01-27","Watsonia","SSW",50,"SSE","SW",15,26
"2010-01-27","Dartmoor","SE",44,"S","SSE",13,20
"2010-01-27","Brisbane","SE",41,"W","NNE",6,15
"2010-01-27","Cairns","SSE",30,NA,"NNE",0,13
"2010-01-27","GoldCoast","S",69,"NW","N",11,31
"2010-01-27","Townsville","E",46,"ESE","WNW",9,15
"2010-01-27","Adelaide","S",41,"ENE","NW",7,19
"2010-01-27","MountGambier","SSE",54,"SE","S",30,30
"2010-01-27","Nuriootpa","SE",41,"ESE","ESE",15,17
"2010-01-27","Woomera","S",76,"ESE","ESE",19,6
"2010-01-27","Albany",NA,NA,"SSE","ESE",22,20
"2010-01-27","Witchcliffe","S",48,"SE","SE",20,28
"2010-01-27","PearceRAAF","E",67,"E","ENE",20,9
"2010-01-27","PerthAirport","E",54,"E","ESE",15,17
"2010-01-27","Perth","SW",43,"SE","SW",11,19
"2010-01-27","SalmonGums","SE",41,"SE","SE",22,22
"2010-01-27","Walpole","SE",41,"SE","SE",20,24
"2010-01-27","Hobart","S",37,"NNW","SE",13,24
"2010-01-27","Launceston","NW",31,"ESE","NW",13,13
"2010-01-27","AliceSprings","SE",48,"ENE","E",20,17
"2010-01-27","Darwin","WNW",50,"SW","W",13,28
"2010-01-28","Albury","NW",35,"SE","WNW",2,22
"2010-01-28","BadgerysCreek","NE",35,NA,"ENE",NA,15
"2010-01-28","Cobar","NE",39,"ESE","SE",11,9
"2010-01-28","CoffsHarbour","NNE",28,"SW","ENE",15,13
"2010-01-28","Moree",NA,NA,"NNE","N",28,19
"2010-01-28","Newcastle",NA,NA,NA,"NE",0,2
"2010-01-28","NorfolkIsland","SE",39,"SE","SE",22,24
"2010-01-28","Richmond","ENE",30,NA,NA,0,NA
"2010-01-28","Sydney",NA,NA,NA,"ENE",0,17
"2010-01-28","SydneyAirport",NA,NA,"SSW","ENE",9,22
"2010-01-28","WaggaWagga","NW",43,"NNE","WNW",9,9
"2010-01-28","Williamtown","NE",48,"NNE","ESE",9,24
"2010-01-28","Wollongong","NE",37,"SSE","NE",6,19
"2010-01-28","Canberra",NA,NA,NA,NA,NA,NA
"2010-01-28","Tuggeranong","WNW",39,"ENE","NNW",9,20
"2010-01-28","MountGinini","NW",43,"NNE","WNW",13,19
"2010-01-28","Ballarat","SE",44,"SE","SSE",22,19
"2010-01-28","Bendigo","SSE",41,"SSE","WSW",15,11
"2010-01-28","Sale","SE",39,"ENE","ESE",20,22
"2010-01-28","MelbourneAirport","SSW",43,"W","SSW",15,20
"2010-01-28","Melbourne","SSW",43,"W","SSW",15,20
"2010-01-28","Mildura","WSW",28,"ESE","SSE",15,13
"2010-01-28","Portland","SSW",35,"ESE","S",17,19
"2010-01-28","Watsonia","SW",43,"ESE","S",4,20
"2010-01-28","Dartmoor","SW",46,"S","SSW",9,31
"2010-01-28","Brisbane","ENE",28,"E","NE",7,17
"2010-01-28","Cairns","S",33,"SSE","N",13,17
"2010-01-28","GoldCoast","NNE",37,"N","NNE",13,31
"2010-01-28","Townsville","ESE",35,"SE","ESE",20,17
"2010-01-28","Adelaide","SSE",33,"NE","SW",9,15
"2010-01-28","MountGambier","S",43,"SE","SSE",17,28
"2010-01-28","Nuriootpa","SW",31,"E","SSW",11,17
"2010-01-28","Woomera","SSE",67,"NNE","SSE",17,13
"2010-01-28","Albany",NA,NA,"ESE","ESE",19,19
"2010-01-28","Witchcliffe","SSE",48,"SE","SSE",24,26
"2010-01-28","PearceRAAF","ESE",67,"ESE","SE",26,22
"2010-01-28","PerthAirport","E",67,"ESE","E",15,19
"2010-01-28","Perth","ESE",39,"SE","SE",13,15
"2010-01-28","SalmonGums","SSE",52,"SE","SE",22,22
"2010-01-28","Walpole","SE",46,"SE","ESE",19,26
"2010-01-28","Hobart","SE",37,"NNW","ESE",11,19
"2010-01-28","Launceston","NW",39,"NNW","WNW",4,20
"2010-01-28","AliceSprings","S",74,"NE","ESE",11,19
"2010-01-28","Darwin","SSE",78,"SSW","W",24,28
"2010-01-29","Albury","SSE",35,"SE","NNE",2,7
"2010-01-29","Cobar","ESE",33,"SE","S",9,7
"2010-01-29","CoffsHarbour","NNW",35,"S","SE",11,9
"2010-01-29","Moree",NA,NA,NA,NA,NA,NA
"2010-01-29","Newcastle",NA,NA,NA,NA,NA,NA
"2010-01-29","NorahHead","S",48,NA,"S",NA,26
"2010-01-29","NorfolkIsland","E",41,"SE","SE",17,24
"2010-01-29","Penrith","ESE",39,NA,"ESE",NA,24
"2010-01-29","Richmond","SE",41,"SE","SE",2,28
"2010-01-29","Sydney",NA,NA,"WNW","SE",7,20
"2010-01-29","SydneyAirport",NA,NA,NA,"S",NA,30
"2010-01-29","WaggaWagga","ENE",44,"E","WSW",6,24
"2010-01-29","Williamtown","SSE",35,"NW","SSE",9,26
"2010-01-29","Wollongong","SSE",57,"SE","SSE",17,44
"2010-01-29","Canberra",NA,NA,NA,NA,NA,NA
"2010-01-29","Tuggeranong","E",44,"WSW","ESE",4,9
"2010-01-29","Ballarat","S",50,"S","SSE",31,30
"2010-01-29","Bendigo","S",44,"SSE","S",26,26
"2010-01-29","Sale","SE",41,"SW","SSW",13,19
"2010-01-29","MelbourneAirport","SSE",48,"S","S",24,30
"2010-01-29","Melbourne","SSE",48,"S","S",24,30
"2010-01-29","Mildura","S",41,"SSE","S",24,20
"2010-01-29","Portland","SE",33,"S","SSE",17,19
"2010-01-29","Watsonia","S",48,"S","SSW",24,20
"2010-01-29","Dartmoor","ESE",46,"S","S",11,24
"2010-01-29","Brisbane","S",31,"W","NE",9,9
"2010-01-29","Cairns","SSE",28,NA,"SE",0,7
"2010-01-29","GoldCoast","W",39,"NW","NNE",13,11
"2010-01-29","Townsville","ESE",44,"NNE","SE",2,13
"2010-01-29","Adelaide","SE",35,"SSE","ESE",11,13
"2010-01-29","MountGambier","SSE",48,"SSE","S",19,28
"2010-01-29","Nuriootpa","SSE",44,"SE","SSE",26,13
"2010-01-29","Woomera","SSE",44,"SSE","SSE",30,22
"2010-01-29","Albany",NA,NA,"ENE","SE",9,33
"2010-01-29","Witchcliffe","SSE",43,"ESE","S",11,20
"2010-01-29","PearceRAAF","E",67,"E","S",15,17
"2010-01-29","PerthAirport","E",67,"E","SSW",31,11
"2010-01-29","Perth","WSW",43,"E","SW",19,24
"2010-01-29","SalmonGums","E",39,"ENE","NE",17,11
"2010-01-29","Walpole","ESE",39,"ENE","SSE",15,15
"2010-01-29","Hobart","SW",48,"SW","SSW",17,30
"2010-01-29","Launceston","NNE",44,"NNE","E",7,13
"2010-01-29","AliceSprings","SE",56,"ESE","ESE",17,30
"2010-01-29","Darwin","WNW",57,"W","W",26,37
"2010-01-30","Albury","NE",46,"SSE","NW",15,9
"2010-01-30","BadgerysCreek","NE",37,NA,NA,NA,NA
"2010-01-30","Cobar","E",46,"E","ENE",24,24
"2010-01-30","CoffsHarbour","SSW",44,"SSW","SSE",31,22
"2010-01-30","Moree",NA,NA,NA,NA,NA,NA
"2010-01-30","Newcastle",NA,NA,NA,"S",NA,11
"2010-01-30","NorahHead","S",54,"SSW",NA,33,NA
"2010-01-30","NorfolkIsland","SE",41,"SE","SE",17,28
"2010-01-30","Penrith","ESE",35,"S",NA,13,NA
"2010-01-30","Richmond","SE",37,"S","S",13,7
"2010-01-30","Sydney",NA,NA,"S","SE",26,13
"2010-01-30","SydneyAirport","S",50,"SSW","S",31,30
"2010-01-30","WaggaWagga","ENE",52,"ENE","ENE",30,17
"2010-01-30","Williamtown","S",48,"S","SSE",30,22
"2010-01-30","Wollongong","SSE",54,"SW","SE",17,19
"2010-01-30","Canberra",NA,NA,NA,NA,NA,NA
"2010-01-30","Tuggeranong","ENE",43,"SE","ENE",15,20
"2010-01-30","MountGinini","NE",43,NA,"ENE",NA,20
"2010-01-30","Ballarat","SE",57,"NNE","N",15,24
"2010-01-30","Bendigo","N",44,"E","NNE",15,26
"2010-01-30","Sale","E",48,"E","E",20,35
"2010-01-30","MelbourneAirport","NNE",50,"W","N",9,26
"2010-01-30","Melbourne","NNE",50,"W","N",9,26
"2010-01-30","Mildura","SE",28,"ESE","SSW",19,9
"2010-01-30","Portland","E",33,"E","SE",20,20
"2010-01-30","Watsonia","SW",46,"NE","NNE",6,17
"2010-01-30","Dartmoor","ESE",39,"E","NNW",20,15
"2010-01-30","Brisbane","SSW",46,"SSE","SE",9,22
"2010-01-30","Cairns","NNW",52,"N","NNW",19,24
"2010-01-30","GoldCoast","SSE",54,"SSE","S",31,24
"2010-01-30","Townsville","NNE",81,"E","NE",35,39
"2010-01-30","Adelaide","WSW",31,"E","W",11,11
"2010-01-30","MountGambier","W",37,"E","W",26,9
"2010-01-30","Nuriootpa","NNE",41,"E","NNE",17,13
"2010-01-30","Woomera","SSE",39,"ESE","SSE",24,11
"2010-01-30","Albany",NA,NA,"SSW","SW",24,31
"2010-01-30","Witchcliffe","S",54,"S","SSE",31,30
"2010-01-30","PearceRAAF","SSW",46,"S","SW",22,31
"2010-01-30","PerthAirport","SSE",52,"SW","SW",22,35
"2010-01-30","Perth","SSW",54,"SSW","SW",19,31
"2010-01-30","SalmonGums","S",63,"N","SSW",17,41
"2010-01-30","Walpole","SSW",44,"S","SSW",17,26
"2010-01-30","Hobart","S",37,"NNW","SE",9,20
"2010-01-30","Launceston","N",39,"WNW","NNW",6,19
"2010-01-30","AliceSprings","SSE",50,"SSE","SE",13,24
"2010-01-30","Darwin","S",59,"ESE","WNW",20,13
"2010-01-31","Albury","NE",44,"ENE","E",22,15
"2010-01-31","BadgerysCreek","NNE",54,"E",NA,4,NA
"2010-01-31","Cobar","E",43,"ENE","ENE",24,9
"2010-01-31","CoffsHarbour","ENE",48,"ESE","ENE",7,19
"2010-01-31","Moree","NE",54,"E","NE",19,19
"2010-01-31","Newcastle",NA,NA,"SE","NE",4,15
"2010-01-31","NorahHead","NNE",48,"ENE","ENE",22,26
"2010-01-31","NorfolkIsland","SE",48,"SE","SE",28,28
"2010-01-31","Penrith","NE",39,"SSW","ENE",7,17
"2010-01-31","Richmond","NE",41,"S","ENE",4,20
"2010-01-31","Sydney",NA,NA,"E","E",19,24
"2010-01-31","SydneyAirport","NE",52,"ENE","ENE",26,35
"2010-01-31","WaggaWagga","ENE",44,"ENE","NW",26,7
"2010-01-31","Williamtown","ENE",54,"ENE","ENE",13,35
"2010-01-31","Wollongong","NE",35,"ENE","NE",11,24
"2010-01-31","Canberra",NA,NA,NA,NA,NA,NA
"2010-01-31","Tuggeranong","ENE",41,"NE","NNW",7,13
"2010-01-31","MountGinini","NE",44,"NE","NNE",20,13
"2010-01-31","Ballarat","N",70,"NNE","NNE",41,41
"2010-01-31","Bendigo","SW",76,"NNE","NNE",24,26
"2010-01-31","Sale","WSW",57,"WNW","ENE",7,31
"2010-01-31","MelbourneAirport","N",81,"N","N",61,44
"2010-01-31","Melbourne","N",81,"N","N",61,44
"2010-01-31","Mildura","NE",50,"NNE","N",22,17
"2010-01-31","Portland","SW",56,"W","WSW",30,31
"2010-01-31","Watsonia","W",59,"NNE","N",24,26
"2010-01-31","Dartmoor","SSW",56,"W","SW",20,35
"2010-01-31","Brisbane","ENE",50,"ENE","E",11,17
"2010-01-31","Cairns","WNW",61,"NNW","WNW",17,19
"2010-01-31","GoldCoast","ENE",59,"E","ESE",33,31
"2010-01-31","Townsville","N",65,"NNW","N",24,24
"2010-01-31","Adelaide","SSE",44,"SW","WSW",13,28
"2010-01-31","MountGambier","SSW",52,"WNW","SW",13,33
"2010-01-31","Nuriootpa","W",44,"NE","W",13,30
"2010-01-31","Woomera","SE",59,"SE","SW",24,33
"2010-01-31","Albany",NA,NA,"SE","SE",17,22
"2010-01-31","Witchcliffe","S",43,"ESE","SSE",19,22
"2010-01-31","PearceRAAF","ESE",48,"ESE","SE",28,22
"2010-01-31","PerthAirport","ESE",44,"ESE","SSE",31,17
"2010-01-31","Perth","SE",37,"E","SSE",15,15
"2010-01-31","SalmonGums","ESE",50,"SE","SSE",24,26
"2010-01-31","Walpole","SE",41,"SE","SE",17,24
"2010-01-31","Hobart","NNW",74,"NNW","NNW",22,48
"2010-01-31","Launceston","NW",46,"SE","NW",11,30
"2010-01-31","AliceSprings","SSE",54,NA,"SSE",0,33
"2010-01-31","Darwin","WSW",52,"WSW","W",15,24
"2010-02-01","Albury","E",67,"S","SSE",4,15
"2010-02-01","BadgerysCreek","E",44,NA,"NE",0,26
"2010-02-01","Cobar","E",39,"E","ESE",15,17
"2010-02-01","CoffsHarbour","ESE",52,"SW","ESE",11,15
"2010-02-01","Moree","ESE",54,"ESE","ESE",26,35
"2010-02-01","Newcastle",NA,NA,NA,"NE",0,9
"2010-02-01","NorahHead","NE",33,"ENE","E",11,22
"2010-02-01","NorfolkIsland","S",33,"S","SE",20,20
"2010-02-01","Penrith","ESE",41,"S","E",9,26
"2010-02-01","Richmond","NE",39,NA,"ENE",0,19
"2010-02-01","Sydney",NA,NA,"E","E",13,24
"2010-02-01","SydneyAirport","E",46,"ENE","ENE",20,31
"2010-02-01","WaggaWagga","NNE",54,"E","E",15,19
"2010-02-01","Williamtown","ESE",50,"E","E",19,33
"2010-02-01","Wollongong","ENE",28,"NNE","ENE",6,22
"2010-02-01","Canberra",NA,NA,NA,NA,NA,NA
"2010-02-01","Tuggeranong","E",43,"SSE","E",7,20
"2010-02-01","MountGinini","NE",50,"ESE","ENE",13,24
"2010-02-01","Ballarat","ESE",61,"ESE","SE",33,31
"2010-02-01","Bendigo","SSE",43,"SE","SSE",22,20
"2010-02-01","Sale","WSW",46,"SW","ESE",6,30
"2010-02-01","MelbourneAirport","S",39,"SSE","S",15,28
"2010-02-01","Melbourne","S",39,"SSE","S",15,28
"2010-02-01","Mildura","E",39,"SSE","ESE",22,19
"2010-02-01","Portland","E",48,"ESE","SE",24,30
"2010-02-01","Watsonia","SW",33,"S","SE",13,13
"2010-02-01","Dartmoor","ESE",54,"ESE","ESE",33,31
"2010-02-01","Brisbane","ENE",46,"E","ESE",22,20
"2010-02-01","Cairns","WNW",41,"WNW","SSW",11,4
"2010-02-01","GoldCoast","E",63,"ESE","SE",46,46
"2010-02-01","Townsville","NNW",37,"NNW","NNW",19,15
"2010-02-01","Adelaide","SE",30,"SE","WSW",15,7
"2010-02-01","MountGambier","SE",48,"SE","SE",35,22
"2010-02-01","Nuriootpa","SE",41,"SSE","ESE",24,20
"2010-02-01","Woomera","SE",54,"SSE","SSW",26,24
"2010-02-01","Albany",NA,NA,"N","SSE",4,19
"2010-02-01","Witchcliffe","S",39,"SSE","SW",7,19
"2010-02-01","PearceRAAF","SW",48,"E","SW",15,30
"2010-02-01","PerthAirport",NA,NA,"E","SW",24,28
"2010-02-01","Perth","SW",46,"E","SW",9,20
"2010-02-01","SalmonGums","ENE",39,"NNE","NNW",22,17
"2010-02-01","Walpole","NNE",41,"W","SSE",4,15
"2010-02-01","Hobart","SSW",39,"SSW","SE",15,22
"2010-02-01","Launceston","S",52,"SSE","SSW",26,13
"2010-02-01","AliceSprings","S",52,"E","S",9,26
"2010-02-01","Darwin","W",41,"NW","W",11,33
"2010-02-02","Albury","ENE",39,"SSE","NE",7,9
"2010-02-02","BadgerysCreek","SE",44,"ESE","SE",17,22
"2010-02-02","Cobar","E",54,"ESE","E",26,31
"2010-02-02","CoffsHarbour","SSE",46,"SSE","SW",24,17
"2010-02-02","Moree","ENE",61,"E","E",41,33
"2010-02-02","Newcastle",NA,NA,"SE","S",15,28
"2010-02-02","NorahHead","SE",61,"ESE","SSE",30,41
"2010-02-02","NorfolkIsland","E",54,"ESE","SSE",20,22
"2010-02-02","Penrith","ESE",44,"ESE","SE",17,26
"2010-02-02","Richmond","SE",56,"SE","SE",19,33
"2010-02-02","Sydney",NA,NA,"ESE","SE",19,30
"2010-02-02","SydneyAirport","SE",52,"SE","SSE",28,33
"2010-02-02","WaggaWagga","ENE",54,"E","NE",24,31
"2010-02-02","Williamtown","SE",48,"E","SSE",26,30
"2010-02-02","Wollongong","ESE",44,"ESE","SE",28,31
"2010-02-02","Canberra",NA,NA,NA,NA,NA,NA
"2010-02-02","Ballarat","NNE",50,"NNE","ESE",37,24
"2010-02-02","Bendigo","E",39,"ENE","ENE",19,17
"2010-02-02","Sale","E",59,"ENE","E",19,39
"2010-02-02","MelbourneAirport","N",52,"E","SE",11,20
"2010-02-02","Melbourne","N",52,"E","SE",11,20
"2010-02-02","Mildura","ESE",48,"E","E",11,20
"2010-02-02","Portland","ENE",35,"ENE","E",20,20
"2010-02-02","Watsonia","SE",28,"E","ESE",9,13
"2010-02-02","Dartmoor","ESE",46,"ENE","E",13,20
"2010-02-02","Brisbane","E",46,"ESE","ESE",19,13
"2010-02-02","Cairns","WSW",59,"N","N",7,24
"2010-02-02","GoldCoast","SE",57,"SE","SSE",37,31
"2010-02-02","Townsville","NNW",28,"NNW","N",19,15
"2010-02-02","Adelaide","ENE",39,"SSW","SW",2,11
"2010-02-02","MountGambier","SSE",41,"ENE","ESE",15,13
"2010-02-02","Nuriootpa","ESE",46,"NE","ESE",15,6
"2010-02-02","Woomera","ENE",46,"NNE","ENE",19,22
"2010-02-02","Albany",NA,NA,"S","S",31,20
"2010-02-02","Witchcliffe","SSE",48,"SSE","S",22,31
"2010-02-02","PearceRAAF","SSW",50,"SSE","SW",19,33
"2010-02-02","PerthAirport",NA,NA,"S","SW",19,39
"2010-02-02","Perth","SSW",56,"S","SSW",15,30
"2010-02-02","SalmonGums","SSW",57,"SE","SW",9,11
"2010-02-02","Walpole",NA,NA,"SSE","S",15,19
"2010-02-02","Hobart","SE",33,"NNW","SE",9,20
"2010-02-02","Launceston","NNW",31,"ESE","NW",9,13
"2010-02-02","AliceSprings","S",48,"SW","SW",9,28
"2010-02-02","Darwin","WNW",43,"W","WNW",26,30
"2010-02-03","Albury","E",57,"SSE","ESE",15,17
"2010-02-03","Cobar","E",56,"E","NNW",24,24
"2010-02-03","CoffsHarbour","NE",41,"ENE","E",15,13
"2010-02-03","Moree","ENE",52,"E","ENE",20,26
"2010-02-03","Newcastle",NA,NA,"NE","SE",4,28
"2010-02-03","NorahHead","ENE",48,"E",NA,33,NA
"2010-02-03","NorfolkIsland","E",63,"E","E",30,37
"2010-02-03","Penrith","ESE",43,"SE","ESE",19,22
"2010-02-03","Richmond","NE",52,"ESE","ENE",17,26
"2010-02-03","Sydney",NA,NA,"E","E",26,26
"2010-02-03","SydneyAirport","ESE",52,"E","E",35,31
"2010-02-03","WaggaWagga","ENE",85,"ENE","ENE",30,37
"2010-02-03","Williamtown","E",50,"E","E",26,31
"2010-02-03","Wollongong","E",54,"E","ENE",35,19
"2010-02-03","Canberra",NA,NA,NA,NA,NA,NA
"2010-02-03","Tuggeranong","E",48,NA,"E",NA,24
"2010-02-03","Ballarat","NNE",56,"NNE","ENE",37,24
"2010-02-03","Bendigo","NE",44,"ENE","ENE",17,20
"2010-02-03","Sale","E",72,"E","E",41,54
