"date","location","windgustdir","windgustspeed","winddir9am","winddir3pm","windspeed9am","windspeed3pm"
"2016-03-21","Nhil","ESE",37,"SSE","SSE",9,15
"2016-03-21","Portland","SE",35,"ENE","E",7,20
"2016-03-21","Watsonia","SSW",35,"E","SSE",4,11
"2016-03-21","Dartmoor","ESE",44,"ESE","SE",6,17
"2016-03-21","Brisbane","ESE",31,"S","ESE",7,15
"2016-03-21","Cairns","SE",33,"WNW","NNE",9,15
"2016-03-21","GoldCoast","SSE",54,"SSE","SE",26,41
"2016-03-21","Townsville","NE",31,"NW","NE",9,15
"2016-03-21","Adelaide","WSW",28,NA,"SW",0,13
"2016-03-21","MountGambier","ESE",33,"ESE","E",17,13
"2016-03-21","Nuriootpa","SE",26,"E","E",13,13
"2016-03-21","Woomera","SE",30,"E","WNW",19,9
"2016-03-21","Albany",NA,NA,"E",NA,7,NA
"2016-03-21","Witchcliffe","SSE",46,"SW","S",9,22
"2016-03-21","PearceRAAF","SW",39,"ENE","SW",13,24
"2016-03-21","PerthAirport","NE",44,"ENE","SW",17,28
"2016-03-21","Perth","SW",31,"ENE","SSW",6,17
"2016-03-21","SalmonGums","NNE",30,"NE","NNW",17,7
"2016-03-21","Walpole","NE",33,"N","SW",7,15
"2016-03-21","Hobart","ESE",30,"N","ESE",6,20
"2016-03-21","Launceston","SSE",28,"E","S",6,7
"2016-03-21","AliceSprings","ENE",33,"E","E",20,17
"2016-03-21","Darwin","NW",33,NA,"WNW",0,28
"2016-03-21","Katherine","ESE",20,NA,"ESE",0,9
"2016-03-21","Uluru","ENE",31,"E","WSW",24,7
"2016-03-22","Albury","SW",31,"S","E",6,9
"2016-03-22","BadgerysCreek","SSW",43,"SW","SSW",22,19
"2016-03-22","Cobar","E",33,"E","ESE",22,13
"2016-03-22","CoffsHarbour","SW",41,"SW","SSE",28,28
"2016-03-22","Moree","E",39,"ESE","S",22,13
"2016-03-22","Newcastle",NA,NA,"NE",NA,9,NA
"2016-03-22","NorahHead","SSW",59,"WSW","S",7,33
"2016-03-22","NorfolkIsland","NE",31,"NW","SW",17,15
"2016-03-22","Penrith","SSE",39,"SSW","S",13,15
"2016-03-22","Richmond","SSE",35,"SW","SSE",17,22
"2016-03-22","Sydney","S",50,"W","S",20,19
"2016-03-22","SydneyAirport","SSW",57,"SSW","SSW",31,39
"2016-03-22","WaggaWagga","SW",28,NA,"WNW",0,9
"2016-03-22","Williamtown","SSW",50,"W","SE",19,26
"2016-03-22","Wollongong","SSW",59,"SW","SSW",24,37
"2016-03-22","Canberra","S",35,"SSE","SSE",15,13
"2016-03-22","Tuggeranong","SSE",35,"SSE","SE",15,11
"2016-03-22","MountGinini","SSE",39,"SSE","S",15,2
"2016-03-22","Ballarat","ESE",28,"NNE","NNW",4,9
"2016-03-22","Bendigo","SSE",26,"SSE","SSE",13,11
"2016-03-22","Sale","E",35,"NE","E",2,26
"2016-03-22","MelbourneAirport","S",30,"NNW","S",7,13
"2016-03-22","Mildura","NE",24,"SE","NNE",7,9
"2016-03-22","Nhil","ESE",35,"ESE","N",15,9
"2016-03-22","Portland","NNW",30,"ENE","SW",9,15
"2016-03-22","Watsonia","S",19,"E","SE",7,9
"2016-03-22","Dartmoor","WNW",28,"E","WSW",6,7
"2016-03-22","Brisbane","E",28,"S","ESE",7,11
"2016-03-22","Cairns","NNE",24,"ESE","N",7,13
"2016-03-22","GoldCoast","SE",54,"S","SE",37,39
"2016-03-22","Townsville","E",35,"SSE","NNE",2,17
"2016-03-22","Adelaide","N",28,NA,"WSW",0,15
"2016-03-22","MountGambier","SSW",33,"NE","N",13,19
"2016-03-22","Nuriootpa","NE",31,"NE","NNW",11,9
"2016-03-22","Woomera","NE",33,"NE","NE",13,9
"2016-03-22","Albany",NA,NA,"SE",NA,19,NA
"2016-03-22","Witchcliffe","SE",56,"SE","SE",26,24
"2016-03-22","PearceRAAF","ESE",37,"ESE","ESE",11,24
"2016-03-22","PerthAirport","SE",41,"SE","ESE",19,24
"2016-03-22","Perth","SE",31,"SE","SE",11,15
"2016-03-22","SalmonGums","SSE",35,"S","SSE",15,20
"2016-03-22","Walpole","SE",50,"SE","SE",20,26
"2016-03-22","Hobart","NW",24,"NW","ESE",13,13
"2016-03-22","Launceston","NNW",30,"E","NNW",6,7
"2016-03-22","AliceSprings","E",33,"ENE","ESE",17,15
"2016-03-22","Darwin","WSW",46,NA,"WNW",0,19
"2016-03-22","Katherine","E",28,"NNW","SE",4,13
"2016-03-22","Uluru","W",37,"E","SSW",20,11
"2016-03-23","Albury","SW",30,NA,"W",0,13
"2016-03-23","BadgerysCreek","E",28,"SW","NE",9,6
"2016-03-23","Cobar","WSW",24,"E","NNE",13,7
"2016-03-23","CoffsHarbour","WSW",37,"SW","SSE",20,24
"2016-03-23","Moree","SSE",31,"E","SSE",17,9
"2016-03-23","Newcastle",NA,NA,NA,NA,0,NA
"2016-03-23","NorahHead","SW",28,"W","SSE",9,17
"2016-03-23","NorfolkIsland","SSW",43,"SW","WSW",28,30
"2016-03-23","Penrith","N",22,"ESE","ENE",4,7
"2016-03-23","Richmond","SE",26,NA,"NE",0,13
"2016-03-23","Sydney","W",33,"W","ESE",20,15
"2016-03-23","SydneyAirport","WSW",30,"WNW","SE",11,17
"2016-03-23","WaggaWagga","WSW",33,"E","W",13,13
"2016-03-23","Williamtown","SW",30,"WNW","SSE",19,20
"2016-03-23","Wollongong","WSW",28,"WSW","NE",7,11
"2016-03-23","Canberra","NNW",28,NA,"NNW",0,7
"2016-03-23","Tuggeranong","NNW",20,NA,"NW",0,4
"2016-03-23","MountGinini","SW",33,"SW","SW",19,11
"2016-03-23","Ballarat","WNW",43,"NNE","WSW",17,24
"2016-03-23","Bendigo","WSW",35,"SSE","N",7,11
"2016-03-23","Sale","WNW",28,"WNW","W",9,15
"2016-03-23","MelbourneAirport","WNW",48,"N","WSW",24,26
"2016-03-23","Mildura","S",31,"N","NNW",9,13
"2016-03-23","Nhil","W",39,"NNW","WSW",9,26
"2016-03-23","Portland","S",24,NA,"SSE",0,13
"2016-03-23","Watsonia","N",28,"E","SW",11,17
"2016-03-23","Dartmoor","SSW",26,NA,"SSW",0,15
"2016-03-23","Brisbane","E",22,"S","ENE",4,13
"2016-03-23","Cairns","SE",31,"SE","ENE",20,17
"2016-03-23","GoldCoast","ESE",33,"SSE","SE",22,28
"2016-03-23","Townsville","E",37,"SE","ENE",17,28
"2016-03-23","Adelaide","SW",33,"SSW","SW",7,15
"2016-03-23","MountGambier","S",30,"WSW","S",9,17
"2016-03-23","Nuriootpa","W",31,"NW","WSW",4,20
"2016-03-23","Woomera","N",26,"NNE","NE",11,13
"2016-03-23","Albany",NA,NA,"SE",NA,33,NA
"2016-03-23","Witchcliffe","SE",43,"ESE","SE",20,20
"2016-03-23","PearceRAAF","E",46,"ESE","SE",19,26
"2016-03-23","PerthAirport","SE",46,"ESE","ESE",15,28
"2016-03-23","Perth","SE",35,"SE","SE",13,13
"2016-03-23","SalmonGums","SE",26,"E","ESE",17,13
"2016-03-23","Walpole","ESE",41,"ESE","E",15,17
"2016-03-23","Hobart","NNW",41,NA,"NW",0,24
"2016-03-23","Launceston","NNW",26,"NW","NNW",4,11
"2016-03-23","AliceSprings","SSE",41,"NNE","SE",9,13
"2016-03-23","Darwin","N",37,"SW","NNW",6,20
"2016-03-23","Katherine","ESE",33,"W","ESE",4,11
"2016-03-23","Uluru","WSW",37,NA,"WNW",0,13
"2016-03-24","Albury","SSE",20,NA,"SSE",0,13
"2016-03-24","BadgerysCreek","E",28,"SE","NNE",4,13
"2016-03-24","Cobar","W",30,"E","SE",13,9
"2016-03-24","CoffsHarbour","SE",22,"WSW","ESE",9,15
"2016-03-24","Moree","NE",33,"ENE","NE",20,7
"2016-03-24","Newcastle",NA,NA,NA,NA,0,NA
"2016-03-24","NorahHead","NNE",31,"NW","NE",6,17
"2016-03-24","NorfolkIsland","WSW",31,"WSW","WSW",17,19
"2016-03-24","Penrith","ENE",31,"SW","NW",2,7
"2016-03-24","Richmond","ENE",31,NA,"ENE",0,9
"2016-03-24","Sydney","ENE",31,"W","E",11,24
"2016-03-24","SydneyAirport","ENE",35,"NW","ENE",11,24
"2016-03-24","WaggaWagga","NE",24,"E","ENE",7,11
"2016-03-24","Williamtown","E",35,"NW","ESE",11,20
"2016-03-24","Wollongong","NNE",31,NA,"ENE",0,24
"2016-03-24","Canberra","SSE",19,NA,"SSW",0,11
"2016-03-24","Tuggeranong","SSW",13,NA,"SSW",0,7
"2016-03-24","MountGinini","NW",28,"S","NW",2,11
"2016-03-24","Ballarat","ESE",37,"ESE","E",15,9
"2016-03-24","Bendigo","SW",30,NA,"SSE",0,11
"2016-03-24","Sale","E",24,"WSW","N",6,9
"2016-03-24","MelbourneAirport","SSW",30,"SW","S",9,11
"2016-03-24","Mildura","NW",30,"S","W",9,13
"2016-03-24","Nhil","S",35,"S","SW",15,15
"2016-03-24","Portland","SSE",24,"SSE","S",9,11
"2016-03-24","Watsonia","SW",20,"S","S",6,2
"2016-03-24","Dartmoor","SSW",24,"S","SSW",7,13
"2016-03-24","Brisbane","NE",26,"SSW","ENE",6,11
